CMDLINE C:\Python\311\python.exe Vamprior_4branch.py
MEM 572.472656 1721046136.6776
MEM 574.195312 1721046136.7781
MEM 575.097656 1721046136.8789
MEM 576.359375 1721046136.9796
MEM 577.660156 1721046137.0803
MEM 578.843750 1721046137.1810
MEM 579.703125 1721046137.2812
MEM 581.253906 1721046137.3820
MEM 586.472656 1721046137.4825
MEM 594.093750 1721046137.5830
MEM 594.386719 1721046137.6838
MEM 594.796875 1721046137.7845
MEM 596.105469 1721046137.8851
MEM 596.656250 1721046137.9855
MEM 597.113281 1721046138.0860
MEM 597.113281 1721046138.1865
MEM 597.132812 1721046138.2876
MEM 597.199219 1721046138.3884
MEM 598.191406 1721046138.4891
MEM 621.886719 1721046138.5900
MEM 626.062500 1721046138.6905
MEM 626.574219 1721046138.7915
MEM 627.273438 1721046138.8924
MEM 627.628906 1721046138.9931
MEM 627.941406 1721046139.0934
MEM 628.261719 1721046139.1941
MEM 628.726562 1721046139.2947
MEM 629.320312 1721046139.3954
MEM 630.523438 1721046139.4965
MEM 631.207031 1721046139.5972
MEM 631.921875 1721046139.6981
MEM 632.996094 1721046139.7985
MEM 634.289062 1721046139.8990
MEM 634.964844 1721046139.9997
MEM 635.515625 1721046140.1004
MEM 636.527344 1721046140.2008
MEM 637.652344 1721046140.3013
MEM 638.707031 1721046140.4022
MEM 639.417969 1721046140.5029
MEM 641.531250 1721046140.6040
MEM 642.609375 1721046140.7045
MEM 642.890625 1721046140.8054
MEM 642.890625 1721046140.9063
MEM 643.199219 1721046141.0069
MEM 644.316406 1721046141.1075
MEM 644.453125 1721046141.2080
MEM 645.578125 1721046141.3087
MEM 646.453125 1721046141.4092
MEM 647.695312 1721046141.5100
MEM 648.605469 1721046141.6108
MEM 649.820312 1721046141.7117
MEM 651.101562 1721046141.8127
MEM 652.593750 1721046141.9136
MEM 657.585938 1721046142.0143
MEM 661.234375 1721046142.1150
MEM 661.468750 1721046142.2156
MEM 663.113281 1721046142.3163
MEM 663.339844 1721046142.4170
MEM 663.847656 1721046142.5177
MEM 663.855469 1721046142.6188
MEM 663.902344 1721046142.7197
MEM 663.980469 1721046142.8204
MEM 677.484375 1721046142.9209
MEM 701.628906 1721046143.0214
MEM 717.062500 1721046143.1220
MEM 732.394531 1721046143.2230
MEM 761.769531 1721046143.3234
MEM 767.734375 1721046143.4243
MEM 767.718750 1721046143.5251
MEM 768.015625 1721046143.6260
MEM 768.035156 1721046143.7267
MEM 769.406250 1721046143.8273
MEM 769.679688 1721046143.9282
MEM 769.941406 1721046144.0293
MEM 770.804688 1721046144.1301
MEM 770.824219 1721046144.2305
MEM 771.546875 1721046144.3313
MEM 777.968750 1721046144.4321
MEM 778.019531 1721046144.5330
MEM 778.039062 1721046144.6335
MEM 778.085938 1721046144.7344
MEM 778.093750 1721046144.8350
MEM 751.937500 1721046144.9359
MEM 724.675781 1721046145.0366
MEM 722.078125 1721046145.1377
MEM 724.617188 1721046145.2382
MEM 724.820312 1721046145.3387
MEM 724.890625 1721046145.4394
MEM 724.917969 1721046145.5399
MEM 724.917969 1721046145.6404
MEM 724.941406 1721046145.7411
MEM 724.941406 1721046145.8416
MEM 724.941406 1721046145.9423
MEM 724.941406 1721046146.0428
MEM 724.941406 1721046146.1431
MEM 724.941406 1721046146.2438
MEM 724.941406 1721046146.3446
MEM 724.941406 1721046146.4454
MEM 724.941406 1721046146.5461
MEM 724.941406 1721046146.6466
MEM 724.945312 1721046146.7473
MEM 724.949219 1721046146.8478
MEM 724.949219 1721046146.9483
MEM 724.949219 1721046147.0490
MEM 724.953125 1721046147.1500
MEM 724.953125 1721046147.2507
MEM 724.953125 1721046147.3512
MEM 724.953125 1721046147.4517
MEM 724.953125 1721046147.5522
MEM 724.953125 1721046147.6527
MEM 724.957031 1721046147.7534
MEM 724.957031 1721046147.8539
MEM 724.957031 1721046147.9543
MEM 724.957031 1721046148.0549
MEM 724.957031 1721046148.1554
MEM 724.957031 1721046148.2560
MEM 724.957031 1721046148.3566
MEM 725.003906 1721046148.4571
MEM 725.003906 1721046148.5578
MEM 725.003906 1721046148.6583
MEM 725.003906 1721046148.7588
MEM 725.003906 1721046148.8595
MEM 725.007812 1721046148.9600
MEM 725.015625 1721046149.0607
MEM 725.031250 1721046149.1612
MEM 725.046875 1721046149.2617
MEM 725.058594 1721046149.3624
MEM 725.070312 1721046149.4629
MEM 725.082031 1721046149.5636
MEM 725.093750 1721046149.6641
MEM 725.101562 1721046149.7646
MEM 725.117188 1721046149.8653
MEM 725.128906 1721046149.9658
MEM 725.132812 1721046150.0663
MEM 725.156250 1721046150.1669
